2019-05-24 12:38:30 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 141.3; Health Usage: 141.25; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:31 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 142.5; Health Usage: 142.5; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:31 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 143.8; Health Usage: 143.75; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:32 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 145.0; Health Usage: 145.0; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:32 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 146.3; Health Usage: 146.25; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:33 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 147.5; Health Usage: 147.5; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:33 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 148.8; Health Usage: 148.75; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:34 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 150.0; Health Usage: 150.0; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:34 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 151.3; Health Usage: 151.25; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:35 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 152.5; Health Usage: 152.5; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:35 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 153.8; Health Usage: 153.75; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:36 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 155.0; Health Usage: 155.0; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:36 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 156.3; Health Usage: 156.25; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:37 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 157.5; Health Usage: 157.5; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:37 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 158.8; Health Usage: 158.75; Fuel: 239.0; Tile: TRAP(health)
